,Edits,Name,date,url,Date
0,58,Climate change,2002-01,https://en.wikipedia.org/wiki/Climate%20change,1970-01
1,53,Karl Marx,2002-01,https://en.wikipedia.org/wiki/Karl%20Marx,1970-01
2,46,Nuclear weapon,2002-01,https://en.wikipedia.org/wiki/Nuclear%20weapon,1970-01
3,38,List of saints,2002-01,https://en.wikipedia.org/wiki/List%20of%20saints,1970-01
4,37,"List of Latin place names in Continental Europe, Ireland and Scandinavia",2002-01,"https://en.wikipedia.org/wiki/List%20of%20Latin%20place%20names%20in%20Continental%20Europe,%20Ireland%20and%20Scandinavia",1970-01
5,37,Sacramento (disambiguation),2002-01,https://en.wikipedia.org/wiki/Sacramento%20(disambiguation),1970-01
6,35,Vietnam War,2002-01,https://en.wikipedia.org/wiki/Vietnam%20War,1970-01
7,34,Fermi paradox,2002-01,https://en.wikipedia.org/wiki/Fermi%20paradox,1970-01
8,34,Psychology,2002-01,https://en.wikipedia.org/wiki/Psychology,1970-01
9,33,Martin Luther,2002-01,https://en.wikipedia.org/wiki/Martin%20Luther,1970-01
0,96,Beryllium,2002-02,https://en.wikipedia.org/wiki/Beryllium,1970-01
1,57,2002 Winter Olympics,2002-02,https://en.wikipedia.org/wiki/2002%20Winter%20Olympics,1970-01
2,45,Main Page,2002-02,https://en.wikipedia.org/wiki/Main%20Page,1970-01
3,38,British politics,2002-02,https://en.wikipedia.org/wiki/British%20politics,1970-01
4,36,Gravitational constant,2002-02,https://en.wikipedia.org/wiki/Gravitational%20constant,1970-01
5,32,3rd millennium BC,2002-02,https://en.wikipedia.org/wiki/3rd%20millennium%20BC,1970-01
6,30,Library of Congress catalog scheme,2002-02,https://en.wikipedia.org/wiki/Library%20of%20Congress%20catalog%20scheme,1970-01
7,29,Deep England,2002-02,https://en.wikipedia.org/wiki/Deep%20England,1970-01
8,28,List of German monarchs,2002-02,https://en.wikipedia.org/wiki/List%20of%20German%20monarchs,1970-01
9,26,A child's history of England,2002-02,https://en.wikipedia.org/wiki/A%20child's%20history%20of%20England,1970-01
0,71,Invention,2002-03,https://en.wikipedia.org/wiki/Invention,1970-01
1,68,Academy Award for Best Picture,2002-03,https://en.wikipedia.org/wiki/Academy%20Award%20for%20Best%20Picture,1970-01
2,51,Sex education,2002-03,https://en.wikipedia.org/wiki/Sex%20education,1970-01
3,36,380,2002-03,https://en.wikipedia.org/wiki/380,1970-01
4,34,Bubble fusion,2002-03,https://en.wikipedia.org/wiki/Bubble%20fusion,1970-01
5,34,Green Party,2002-03,https://en.wikipedia.org/wiki/Green%20Party,1970-01
6,31,Biosecurity,2002-03,https://en.wikipedia.org/wiki/Biosecurity,1970-01
7,31,Submarine communications cable,2002-03,https://en.wikipedia.org/wiki/Submarine%20communications%20cable,1970-01
8,29,Religion and sexuality,2002-03,https://en.wikipedia.org/wiki/Religion%20and%20sexuality,1970-01
9,28,Gdańsk,2002-03,https://en.wikipedia.org/wiki/Gda%C5%84sk,1970-01
0,37,Chess,2002-04,https://en.wikipedia.org/wiki/Chess,1970-01
1,36,Stochastic process,2002-04,https://en.wikipedia.org/wiki/Stochastic%20process,1970-01
2,32,Randomness,2002-04,https://en.wikipedia.org/wiki/Randomness,1970-01
3,29,Normal distribution,2002-04,https://en.wikipedia.org/wiki/Normal%20distribution,1970-01
4,28,Queen Elizabeth The Queen Mother,2002-04,https://en.wikipedia.org/wiki/Queen%20Elizabeth%20The%20Queen%20Mother,1970-01
5,26,Tree,2002-04,https://en.wikipedia.org/wiki/Tree,1970-01
6,25,Particle physics,2002-04,https://en.wikipedia.org/wiki/Particle%20physics,1970-01
7,24,Economics,2002-04,https://en.wikipedia.org/wiki/Economics,1970-01
8,23,Supercomputer,2002-04,https://en.wikipedia.org/wiki/Supercomputer,1970-01
9,23,Shark,2002-04,https://en.wikipedia.org/wiki/Shark,1970-01
0,51,Nicolaus Copernicus,2002-05,https://en.wikipedia.org/wiki/Nicolaus%20Copernicus,1970-01
1,36,Jenin,2002-05,https://en.wikipedia.org/wiki/Jenin,1970-01
2,35,Palestinian political violence,2002-05,https://en.wikipedia.org/wiki/Palestinian%20political%20violence,1970-01
3,28,Pim Fortuyn,2002-05,https://en.wikipedia.org/wiki/Pim%20Fortuyn,1970-01
4,26,Ten Commandments,2002-05,https://en.wikipedia.org/wiki/Ten%20Commandments,1970-01
5,25,Main Page,2002-05,https://en.wikipedia.org/wiki/Main%20Page,1970-01
7,24,Free software,2002-05,https://en.wikipedia.org/wiki/Free%20software,1970-01
8,24,Physics,2002-05,https://en.wikipedia.org/wiki/Physics,1970-01
9,23,Administrative counties of England,2002-05,https://en.wikipedia.org/wiki/Administrative%20counties%20of%20England,1970-01
10,23,Flowering plant,2002-05,https://en.wikipedia.org/wiki/Flowering%20plant,1970-01
0,193,2002 FIFA World Cup,2002-06,https://en.wikipedia.org/wiki/2002%20FIFA%20World%20Cup,1970-01
1,180,Chinese sovereign,2002-06,https://en.wikipedia.org/wiki/Chinese%20sovereign,1970-01
2,95,Marco Polo Bridge Incident,2002-06,https://en.wikipedia.org/wiki/Marco%20Polo%20Bridge%20Incident,1970-01
3,93,Han dynasty,2002-06,https://en.wikipedia.org/wiki/Han%20dynasty,1970-01
4,91,Five Barbarians,2002-06,https://en.wikipedia.org/wiki/Five%20Barbarians,1970-01
5,52,History of China,2002-06,https://en.wikipedia.org/wiki/History%20of%20China,1970-01
6,48,"Richard Boyle, 1st Earl of Cork",2002-06,"https://en.wikipedia.org/wiki/Richard%20Boyle,%201st%20Earl%20of%20Cork",1970-01
7,44,Economics,2002-06,https://en.wikipedia.org/wiki/Economics,1970-01
8,43,Computer security,2002-06,https://en.wikipedia.org/wiki/Computer%20security,1970-01
9,41,Early infanticidal childrearing,2002-06,https://en.wikipedia.org/wiki/Early%20infanticidal%20childrearing,1970-01
0,123,List of novelists by nationality,2002-07,https://en.wikipedia.org/wiki/List%20of%20novelists%20by%20nationality,1970-01
1,55,Main Page,2002-07,https://en.wikipedia.org/wiki/Main%20Page,1970-01
2,43,List of The Simpsons characters,2002-07,https://en.wikipedia.org/wiki/List%20of%20The%20Simpsons%20characters,1970-01
3,43,Montmartre,2002-07,https://en.wikipedia.org/wiki/Montmartre,1970-01
4,43,Attention deficit hyperactivity disorder,2002-07,https://en.wikipedia.org/wiki/Attention%20deficit%20hyperactivity%20disorder,1970-01
5,41,Oder–Neisse line,2002-07,https://en.wikipedia.org/wiki/Oder%E2%80%93Neisse%20line,1970-01
6,37,BASIC,2002-07,https://en.wikipedia.org/wiki/BASIC,1970-01
7,37,Hominidae,2002-07,https://en.wikipedia.org/wiki/Hominidae,1970-01
8,36,China,2002-07,https://en.wikipedia.org/wiki/China,1970-01
9,36,Academy Awards,2002-07,https://en.wikipedia.org/wiki/Academy%20Awards,1970-01
0,124,Law,2002-08,https://en.wikipedia.org/wiki/Law,1970-01
1,73,List of films preserved in the United States National Film Registry,2002-08,https://en.wikipedia.org/wiki/List%20of%20films%20preserved%20in%20the%20United%20States%20National%20Film%20Registry,1970-01
2,72,Paris,2002-08,https://en.wikipedia.org/wiki/Paris,1970-01
3,67,United States,2002-08,https://en.wikipedia.org/wiki/United%20States,1970-01
4,61,Biblical canon,2002-08,https://en.wikipedia.org/wiki/Biblical%20canon,1970-01
5,57,List of novelists by nationality,2002-08,https://en.wikipedia.org/wiki/List%20of%20novelists%20by%20nationality,1970-01
6,54,Lists of islands,2002-08,https://en.wikipedia.org/wiki/Lists%20of%20islands,1970-01
7,53,List of kennings,2002-08,https://en.wikipedia.org/wiki/List%20of%20kennings,1970-01
8,50,Apartheid,2002-08,https://en.wikipedia.org/wiki/Apartheid,1970-01
9,48,Jesus,2002-08,https://en.wikipedia.org/wiki/Jesus,1970-01
0,140,Lists of Canadians,2002-09,https://en.wikipedia.org/wiki/Lists%20of%20Canadians,1970-01
1,117,List of French people,2002-09,https://en.wikipedia.org/wiki/List%20of%20French%20people,1970-01
2,100,Zeus,2002-09,https://en.wikipedia.org/wiki/Zeus,1970-01
3,76,Jehovah's Witnesses,2002-09,https://en.wikipedia.org/wiki/Jehovah's%20Witnesses,1970-01
4,74,Heracles,2002-09,https://en.wikipedia.org/wiki/Heracles,1970-01
5,70,List of comedy television series,2002-09,https://en.wikipedia.org/wiki/List%20of%20comedy%20television%20series,1970-01
6,70,List of Germans,2002-09,https://en.wikipedia.org/wiki/List%20of%20Germans,1970-01
7,69,Situationist International,2002-09,https://en.wikipedia.org/wiki/Situationist%20International,1970-01
8,67,Genocide,2002-09,https://en.wikipedia.org/wiki/Genocide,1970-01
9,65,Central line (London Underground),2002-09,https://en.wikipedia.org/wiki/Central%20line%20(London%20Underground),1970-01
0,343,New Imperialism,2003-01,https://en.wikipedia.org/wiki/New%20Imperialism,1970-01
1,181,2003 in music,2003-01,https://en.wikipedia.org/wiki/2003%20in%20music,1970-01
2,130,Micronation,2003-01,https://en.wikipedia.org/wiki/Micronation,1970-01
3,117,Iraq disarmament crisis,2003-01,https://en.wikipedia.org/wiki/Iraq%20disarmament%20crisis,1970-01
4,111,Gene,2003-01,https://en.wikipedia.org/wiki/Gene,1970-01
5,91,Main Page,2003-01,https://en.wikipedia.org/wiki/Main%20Page,1970-01
6,83,Kosovo War,2003-01,https://en.wikipedia.org/wiki/Kosovo%20War,1970-01
7,80,Menachem Mendel Schneerson,2003-01,https://en.wikipedia.org/wiki/Menachem%20Mendel%20Schneerson,1970-01
8,77,Modal particle,2003-01,https://en.wikipedia.org/wiki/Modal%20particle,1970-01
9,77,Green party,2003-01,https://en.wikipedia.org/wiki/Green%20party,1970-01
0,306,SARS,2003-04,https://en.wikipedia.org/wiki/SARS,1970-01
1,162,History of Soviet Russia and the Soviet Union (1917–1927),2003-04,https://en.wikipedia.org/wiki/History%20of%20Soviet%20Russia%20and%20the%20Soviet%20Union%20(1917%E2%80%931927),1970-01
2,153,2003 invasion of Iraq,2003-04,https://en.wikipedia.org/wiki/2003%20invasion%20of%20Iraq,1970-01
3,137,Johnny Reb,2003-04,https://en.wikipedia.org/wiki/Johnny%20Reb,1970-01
4,120,"Afghanistan timeline April 1–15, 2003",2003-04,"https://en.wikipedia.org/wiki/Afghanistan%20timeline%20April%201%E2%80%9315,%202003",1970-01
5,114,List of one-word stage names,2003-04,https://en.wikipedia.org/wiki/List%20of%20one-word%20stage%20names,1970-01
6,111,China,2003-04,https://en.wikipedia.org/wiki/China,1970-01
7,104,Saddam Hussein,2003-04,https://en.wikipedia.org/wiki/Saddam%20Hussein,1970-01
8,101,Main Page,2003-04,https://en.wikipedia.org/wiki/Main%20Page,1970-01
9,90,2003 in Afghanistan,2003-04,https://en.wikipedia.org/wiki/2003%20in%20Afghanistan,1970-01
0,236,Ley line,2003-07,https://en.wikipedia.org/wiki/Ley%20line,1970-01
1,236,Main Page,2003-07,https://en.wikipedia.org/wiki/Main%20Page,1970-01
2,124,New Imperialism,2003-07,https://en.wikipedia.org/wiki/New%20Imperialism,1970-01
3,118,Plasma cosmology,2003-07,https://en.wikipedia.org/wiki/Plasma%20cosmology,1970-01
4,112,DMOZ,2003-07,https://en.wikipedia.org/wiki/DMOZ,1970-01
5,104,List of Nikola Tesla patents,2003-07,https://en.wikipedia.org/wiki/List%20of%20Nikola%20Tesla%20patents,1970-01
6,96,Hand fan,2003-07,https://en.wikipedia.org/wiki/Hand%20fan,1970-01
7,96,Hong Kong Tramways,2003-07,https://en.wikipedia.org/wiki/Hong%20Kong%20Tramways,1970-01
8,93,Lists of airports,2003-07,https://en.wikipedia.org/wiki/Lists%20of%20airports,1970-01
9,93,Catholicity,2003-07,https://en.wikipedia.org/wiki/Catholicity,1970-01
0,210,Main Page,2003-09,https://en.wikipedia.org/wiki/Main%20Page,1970-01
1,164,British National Party,2003-09,https://en.wikipedia.org/wiki/British%20National%20Party,1970-01
2,140,Houston,2003-09,https://en.wikipedia.org/wiki/Houston,1970-01
3,116,List of assassinated people,2003-09,https://en.wikipedia.org/wiki/List%20of%20assassinated%20people,1970-01
4,105,Adolf Hitler,2003-09,https://en.wikipedia.org/wiki/Adolf%20Hitler,1970-01
5,102,New York City,2003-09,https://en.wikipedia.org/wiki/New%20York%20City,1970-01
6,102,Hezbollah,2003-09,https://en.wikipedia.org/wiki/Hezbollah,1970-01
7,99,History of Kansas,2003-09,https://en.wikipedia.org/wiki/History%20of%20Kansas,1970-01
8,96,List of Nintendo Entertainment System games,2003-09,https://en.wikipedia.org/wiki/List%20of%20Nintendo%20Entertainment%20System%20games,1970-01
9,92,Creationism,2003-09,https://en.wikipedia.org/wiki/Creationism,1970-01
0,500,Nick Berg,2004-05,https://en.wikipedia.org/wiki/Nick%20Berg,1970-01
1,395,Abu Ghraib prison,2004-05,https://en.wikipedia.org/wiki/Abu%20Ghraib%20prison,1970-01
2,392,Birmingham,2004-05,https://en.wikipedia.org/wiki/Birmingham,1970-01
3,308,George W. Bush,2004-05,https://en.wikipedia.org/wiki/George%20W.%20Bush,1970-01
4,257,Augusto Pinochet,2004-05,https://en.wikipedia.org/wiki/Augusto%20Pinochet,1970-01
5,245,Lists of Jews,2004-05,https://en.wikipedia.org/wiki/Lists%20of%20Jews,1970-01
6,234,Portuguese language,2004-05,https://en.wikipedia.org/wiki/Portuguese%20language,1970-01
7,228,Chinatown,2004-05,https://en.wikipedia.org/wiki/Chinatown,1970-01
8,221,1 E+9 m²,2004-05,https://en.wikipedia.org/wiki/1%20E+9%20m%C2%B2,1970-01
9,203,Lynndie England,2004-05,https://en.wikipedia.org/wiki/Lynndie%20England,1970-01
0,581,Ronald Reagan,2004-06,https://en.wikipedia.org/wiki/Ronald%20Reagan,1970-01
1,378,Chinatown,2004-06,https://en.wikipedia.org/wiki/Chinatown,1970-01
2,331,UEFA Euro 2004,2004-06,https://en.wikipedia.org/wiki/UEFA%20Euro%202004,1970-01
3,328,George W. Bush,2004-06,https://en.wikipedia.org/wiki/George%20W.%20Bush,1970-01
4,315,List of French artists and artistic movements,2004-06,https://en.wikipedia.org/wiki/List%20of%20French%20artists%20and%20artistic%20movements,1970-01
5,296,2004 European Parliament election,2004-06,https://en.wikipedia.org/wiki/2004%20European%20Parliament%20election,1970-01
6,281,List of monastic houses in England,2004-06,https://en.wikipedia.org/wiki/List%20of%20monastic%20houses%20in%20England,1970-01
7,270,June 2004 in sports,2004-06,https://en.wikipedia.org/wiki/June%202004%20in%20sports,1970-01
8,267,2004 Canadian federal election,2004-06,https://en.wikipedia.org/wiki/2004%20Canadian%20federal%20election,1970-01
9,254,Russian language,2004-06,https://en.wikipedia.org/wiki/Russian%20language,1970-01
0,676,List of country names in various languages,2004-07,https://en.wikipedia.org/wiki/List%20of%20country%20names%20in%20various%20languages,1970-01
1,548,John Kerry,2004-07,https://en.wikipedia.org/wiki/John%20Kerry,1970-01
2,486,Russian language,2004-07,https://en.wikipedia.org/wiki/Russian%20language,1970-01
3,405,Sexual slang,2004-07,https://en.wikipedia.org/wiki/Sexual%20slang,1970-01
4,401,List of Texas county name etymologies,2004-07,https://en.wikipedia.org/wiki/List%20of%20Texas%20county%20name%20etymologies,1970-01
5,399,Saddam Hussein,2004-07,https://en.wikipedia.org/wiki/Saddam%20Hussein,1970-01
6,398,Prem Rawat,2004-07,https://en.wikipedia.org/wiki/Prem%20Rawat,1970-01
7,384,India,2004-07,https://en.wikipedia.org/wiki/India,1970-01
8,319,March 1,2004-07,https://en.wikipedia.org/wiki/March%201,1970-01
9,309,Ken Jennings,2004-07,https://en.wikipedia.org/wiki/Ken%20Jennings,1970-01
0,2108,2004 Indian Ocean earthquake and tsunami,2005-01,https://en.wikipedia.org/wiki/2004%20Indian%20Ocean%20earthquake%20and%20tsunami,1970-01
1,1058,George W. Bush,2005-01,https://en.wikipedia.org/wiki/George%20W.%20Bush,1970-01
2,924,Humanitarian response to the 2004 Indian Ocean earthquake,2005-01,https://en.wikipedia.org/wiki/Humanitarian%20response%20to%20the%202004%20Indian%20Ocean%20earthquake,1970-01
3,874,Tsunami,2005-01,https://en.wikipedia.org/wiki/Tsunami,1970-01
4,813,Donations for victims of the 2004 Indian Ocean earthquake,2005-01,https://en.wikipedia.org/wiki/Donations%20for%20victims%20of%20the%202004%20Indian%20Ocean%20earthquake,1970-01
5,341,Countries affected by the 2004 Indian Ocean earthquake and tsunami,2005-01,https://en.wikipedia.org/wiki/Countries%20affected%20by%20the%202004%20Indian%20Ocean%20earthquake%20and%20tsunami,1970-01
6,321,Adolf Hitler,2005-01,https://en.wikipedia.org/wiki/Adolf%20Hitler,1970-01
7,317,Medical analysis of circumcision,2005-01,https://en.wikipedia.org/wiki/Medical%20analysis%20of%20circumcision,1970-01
8,316,Wikipedia,2005-01,https://en.wikipedia.org/wiki/Wikipedia,1970-01
9,296,Japan national rugby union team,2005-01,https://en.wikipedia.org/wiki/Japan%20national%20rugby%20union%20team,1970-01
0,4698,Hurricane Katrina,2005-09,https://en.wikipedia.org/wiki/Hurricane%20Katrina,1970-01
1,1786,Hurricane Rita,2005-09,https://en.wikipedia.org/wiki/Hurricane%20Rita,1970-01
2,1750,George W. Bush,2005-09,https://en.wikipedia.org/wiki/George%20W.%20Bush,1970-01
3,1494,Effects of Hurricane Katrina in New Orleans,2005-09,https://en.wikipedia.org/wiki/Effects%20of%20Hurricane%20Katrina%20in%20New%20Orleans,1970-01
4,1157,2005 Atlantic hurricane season,2005-09,https://en.wikipedia.org/wiki/2005%20Atlantic%20hurricane%20season,1970-01
5,810,Criticism of the government response to Hurricane Katrina,2005-09,https://en.wikipedia.org/wiki/Criticism%20of%20the%20government%20response%20to%20Hurricane%20Katrina,1970-01
6,779,Ray Nagin,2005-09,https://en.wikipedia.org/wiki/Ray%20Nagin,1970-01
7,754,William Rehnquist,2005-09,https://en.wikipedia.org/wiki/William%20Rehnquist,1970-01
8,700,New Orleans,2005-09,https://en.wikipedia.org/wiki/New%20Orleans,1970-01
9,644,Wikipedia,2005-09,https://en.wikipedia.org/wiki/Wikipedia,1970-01
0,1907,Paul Ryan,2012-08,https://en.wikipedia.org/wiki/Paul%20Ryan,1970-01
1,1627,Eternity clause,2012-08,https://en.wikipedia.org/wiki/Eternity%20clause,1970-01
2,1525,2012 Atlantic hurricane season,2012-08,https://en.wikipedia.org/wiki/2012%20Atlantic%20hurricane%20season,1970-01
3,1488,Big Brother 14 (American season),2012-08,https://en.wikipedia.org/wiki/Big%20Brother%2014%20(American%20season),1970-01
5,1471,2012 Summer Olympics medal table,2012-08,https://en.wikipedia.org/wiki/2012%20Summer%20Olympics%20medal%20table,1970-01
6,1466,Great Britain at the 2012 Summer Olympics,2012-08,https://en.wikipedia.org/wiki/Great%20Britain%20at%20the%202012%20Summer%20Olympics,1970-01
7,1437,Battle of Aleppo (2012–2016),2012-08,https://en.wikipedia.org/wiki/Battle%20of%20Aleppo%20(2012%E2%80%932016),1970-01
8,1378,India at the 2012 Summer Olympics,2012-08,https://en.wikipedia.org/wiki/India%20at%20the%202012%20Summer%20Olympics,1970-01
9,1226,Pussy Riot,2012-08,https://en.wikipedia.org/wiki/Pussy%20Riot,1970-01
10,1138,Just Dance 4,2012-08,https://en.wikipedia.org/wiki/Just%20Dance%204,1970-01
0,4001,Malaysia Airlines Flight 17,2014-07,https://en.wikipedia.org/wiki/Malaysia%20Airlines%20Flight%2017,1970-01
1,3396,2014 Gaza War,2014-07,https://en.wikipedia.org/wiki/2014%20Gaza%20War,1970-01
2,2176,Political dissidence in the Empire of Japan,2014-07,https://en.wikipedia.org/wiki/Political%20dissidence%20in%20the%20Empire%20of%20Japan,1970-01
4,1451,Mohammad Amin (historian),2014-07,https://en.wikipedia.org/wiki/Mohammad%20Amin%20(historian),1970-01
5,1194,2014 Pacific typhoon season,2014-07,https://en.wikipedia.org/wiki/2014%20Pacific%20typhoon%20season,1970-01
6,1018,Military production during World War II,2014-07,https://en.wikipedia.org/wiki/Military%20production%20during%20World%20War%20II,1970-01
7,955,Islamic State,2014-07,https://en.wikipedia.org/wiki/Islamic%20State,1970-01
8,944,Brazil v Germany (2014 FIFA World Cup),2014-07,https://en.wikipedia.org/wiki/Brazil%20v%20Germany%20(2014%20FIFA%20World%20Cup),1970-01
9,915,India at the 2014 Commonwealth Games,2014-07,https://en.wikipedia.org/wiki/India%20at%20the%202014%20Commonwealth%20Games,1970-01
10,912,2014 NBA Summer League,2014-07,https://en.wikipedia.org/wiki/2014%20NBA%20Summer%20League,1970-01
0,1644,Western African Ebola virus epidemic,2014-09,https://en.wikipedia.org/wiki/Western%20African%20Ebola%20virus%20epidemic,1970-01
1,1404,India at the 2014 Asian Games,2014-09,https://en.wikipedia.org/wiki/India%20at%20the%202014%20Asian%20Games,1970-01
3,1215,Charles Wesley Powell,2014-09,https://en.wikipedia.org/wiki/Charles%20Wesley%20Powell,1970-01
4,1033,Islamic State,2014-09,https://en.wikipedia.org/wiki/Islamic%20State,1970-01
5,1031,Gamergate (harassment campaign),2014-09,https://en.wikipedia.org/wiki/Gamergate%20(harassment%20campaign),1970-01
6,1007,2014 FIVB Volleyball Men's World Championship,2014-09,https://en.wikipedia.org/wiki/2014%20FIVB%20Volleyball%20Men's%20World%20Championship,1970-01
7,997,FIFA 15,2014-09,https://en.wikipedia.org/wiki/FIFA%2015,1970-01
8,944,2014 Scottish independence referendum,2014-09,https://en.wikipedia.org/wiki/2014%20Scottish%20independence%20referendum,1970-01
9,940,List of music students by teacher: A to M,2014-09,https://en.wikipedia.org/wiki/List%20of%20music%20students%20by%20teacher:%20A%20to%20M,1970-01
10,841,Recreational drug use,2014-09,https://en.wikipedia.org/wiki/Recreational%20drug%20use,1970-01
0,2388,Geospatial summary of the High Peaks/Summits of the Juneau Icefield,2015-02,https://en.wikipedia.org/wiki/Geospatial%20summary%20of%20the%20High%20Peaks/Summits%20of%20the%20Juneau%20Icefield,1970-01
2,1106,List of the works of Bastien and Henry Prigent,2015-02,https://en.wikipedia.org/wiki/List%20of%20the%20works%20of%20Bastien%20and%20Henry%20Prigent,1970-01
3,908,TransAsia Airways Flight 235,2015-02,https://en.wikipedia.org/wiki/TransAsia%20Airways%20Flight%20235,1970-01
4,826,2015 Chapel Hill shooting,2015-02,https://en.wikipedia.org/wiki/2015%20Chapel%20Hill%20shooting,1970-01
5,819,2015 in sports,2015-02,https://en.wikipedia.org/wiki/2015%20in%20sports,1970-01
6,782,2015 Copenhagen shootings,2015-02,https://en.wikipedia.org/wiki/2015%20Copenhagen%20shootings,1970-01
7,738,Fifty Shades of Grey (film),2015-02,https://en.wikipedia.org/wiki/Fifty%20Shades%20of%20Grey%20(film),1970-01
8,727,2015 Cricket World Cup,2015-02,https://en.wikipedia.org/wiki/2015%20Cricket%20World%20Cup,1970-01
9,688,Brian Williams,2015-02,https://en.wikipedia.org/wiki/Brian%20Williams,1970-01
10,639,Fastlane (2015),2015-02,https://en.wikipedia.org/wiki/Fastlane%20(2015),1970-01
0,4943,COVID-19 pandemic,2020-01,https://en.wikipedia.org/wiki/COVID-19%20pandemic,1970-01
1,2442,Ukraine International Airlines Flight 752,2020-01,https://en.wikipedia.org/wiki/Ukraine%20International%20Airlines%20Flight%20752,1970-01
3,2145,Assassination of Qasem Soleimani,2020-01,https://en.wikipedia.org/wiki/Assassination%20of%20Qasem%20Soleimani,1970-01
4,1890,2019–20 Australian bushfire season,2020-01,https://en.wikipedia.org/wiki/2019%E2%80%9320%20Australian%20bushfire%20season,1970-01
5,1395,2020 Labour Party leadership election (UK),2020-01,https://en.wikipedia.org/wiki/2020%20Labour%20Party%20leadership%20election%20(UK),1970-01
6,1126,Timeline of the COVID-19 pandemic in January 2020,2020-01,https://en.wikipedia.org/wiki/Timeline%20of%20the%20COVID-19%20pandemic%20in%20January%202020,1970-01
7,1108,Qasem Soleimani,2020-01,https://en.wikipedia.org/wiki/Qasem%20Soleimani,1970-01
8,1088,COVID-19 pandemic by country and territory,2020-01,https://en.wikipedia.org/wiki/COVID-19%20pandemic%20by%20country%20and%20territory,1970-01
9,1035,2020 Australian Open,2020-01,https://en.wikipedia.org/wiki/2020%20Australian%20Open,1970-01
10,1032,2020 ATP Cup,2020-01,https://en.wikipedia.org/wiki/2020%20ATP%20Cup,1970-01
